consolidated_symptom,umls,regex,entities
gastrointestinal symptom,gastrointestinal symptom,"(g(astro( problems?|intestinal (dis(comfort|tress)|p(ain|roblem)s?|(symptom|upset)s?|“ distress))|i (disturbances?|illness(es)?|(proble|sympto)ms?)|ut ("" problems|( (abdominal ) sympto|microbiome ) proble)ms|problems?|symptoms))|stomach symptoms?)","gastro problems|gi symptoms|gastrointestinal symptoms|gi illnesses|gastrointestinal symptom|gut problems|stomach symptoms|gastrointestinal pain|gi illness|gastrointestinal problem|gut problem|gut "" problems|gastrointestinal distress|gi problems|gut ( microbiome ) problems|gastrointestinal “ distress|gastro problem|gi disturbance|gut symptoms|gastrointestinal discomfort|gastrointestinal upsets|gi symptom|stomach symptom|gastrointestinal problems|gi disturbances|gi problem|gastrointestinal upset|gut ( abdominal ) symptoms"
gi upset,gastrointestinal irritation,g(astrointestinal irrit|i inflamm)ation,gi inflammation|gastrointestinal irritation
grinding teeth,grinding teeth,(grinding teeth|teeth (- |are )?grinding),teeth grinding|teeth are grinding|grinding teeth|teeth - grinding
hacking cough,hacking cough,(dry hacking coughs?|hack(ing c(hest c)?ough|y cough)),dry hacking coughs|dry hacking cough|hacking chest cough|hacking cough|hacky cough
hair loss,alopecia,"(alopecia|bald(ness)?|hair( ([""-] (loss|shedding)|(. . . loss|been shedding|has been shedding)|i( lose|s (lost|shedding))|los((e|ing)|s( / thinning|es)?|t)|shed(ding)?|was shedding)|less)|lo(osing (all (her|my) hair|h(air|e(lla|r) hair|is hair)|(my|so much|their|your) hair)|s(e( (50% of my hair|a( significant amount of hair|ll (h(er|is) hair|(my|their|your) hair))|h(a(irs?|lf of (my|your) hair)|airs?|e(lla|r) hair|is hairs?)|literally half of my hair|m(ost of (my|their) hair|(uch|y) hair)|our hair|so( much hair|me (hair|of (my|your) hair))|t(he(ir)? hair|ons of hair)|your hair)|s (all his hair|h(is h)?airs?|(most of his|their) hair))|ing ((30% of their|60% of my|80%of my) hair|a( significant amount of hair|ll (h(er|is) hair|(my|their|your) hair))|h(a(lf of my ha)?irs?|e(lla|r) hair|is hair)|m(ost of (h(er|is) hair|(my|their|your) hair)|uch hair|y hairs?)|our hair|so( (. much . hair|much hairs?|so much hair)|me (hair|of (h(er|is) hair|(my|their|your) hair)))|t(he(ir|y) hair|ons of hair)|your hair)|t (2[05]% of my hair|30% of (her|my|your) hair|40% of (h(er h)?air|my hair)|50%( of (her|my) hair|of my hair)|6(% of your hair|0( % of my hair|% of (her|my) hair))|7(0( % of my hair|% of (h(er|is) hair|(my|their) hair))|5( % of my hair|% of (h(er|is) hair|(her|my|their) hair)))|8(0( % of my hair|% of (h(er h|is h)?air|(her|my|their) hair))|5% of my hair)|90( % of my hair|% of (her|my) hair)|a( significant amount of hair|l(l (h(er h|is h)?air|(my|their|your) hair)|most (all (h(er|is) hair|(my|their) hair)|(my|their) hair))|ll (h(er|is) hair|(my|their|your) hair))|h(a(irs?|lf of (h(er|is) hair|(my|their) hair)|lf of my hairs?)|e(lla hair|r (60% of )?hair|r hair)|is hair)|m(any hair|ost (her hair|of (h(er|is) hair|(my|our|their) hair))|ost of (h(er|is) hair|(my|their|your) hair)|uch hair|y hairs?)|our hair|so( (. much . hair|much hairs?|so much hair)| much hairs?|me (hair|of (h(er h|is h)?air|(my|their|your) hair)))|t(he( (most of my )?hair|ir hairs?|y hair)|ons of hair)|your hair)))|melting hair)","lose all my hair|lost all your hair|lost all hair|lost the hair|losing 60% of my hair|lost half of my hair|losing all your hair|lose hair|loosing your hair|losing so so much hair|lost 90% of her hair|losing some of their hair|losing my hairs|loosing hair|lose their hair|hair shedding|loosing his hair|lose most of their hair|lose much hair|losing all their hair|lose some of my hair|lost almost their hair|lost 80% of her hair|lost 75% of my hair|loosing all my hair|hairless|losing half of my hair|hair losing|lost tons of hair|losing most of your hair|losing tons of hair|lose tons of hair|lost almost my hair|hair - shedding|lost 80% of my hair|losing their hair|losing my hair|lost 40% of her hair|loosing their hair|hair i lose|losing our hair|lost a significant amount of hair|lost many hair|lost 20% of my hair|losing some hair|lose half of my hair|hair "" shedding|losing all her hair|lost half of her hair|lost all their hair|lost most of his hair|lost hairs|lose my hair|lost some of her hair|bald|losing so much hair|lose all your hair|lost most of their hair|lost most her hair|losing some of your hair|lose his hair|losing her hair|hair has been shedding|losing they hair|lost so much hairs|losing some of my hair|lost 90 % of my hair|losing some of her hair|lose 50% of my hair|loses his hair|losing most of their hair|hair was shedding|hair been shedding|lost their hairs|losing 30% of their hair|alopecia|lose so much hair|lost almost all her hair|losing much hair|losing all my hair|lost 60 % of my hair|lost almost all their hair|lose a significant amount of hair|lose literally half of my hair|hair loss|lost 80% of hair|loosing hella hair|hair lose|lost his hair|loses their hair|losing some of his hair|lost 30% of my hair|lost most of our hair|lost 50% of her hair|lose the hair|lost half of their hair|lost 80 % of my hair|lost some hair|lost hella hair|lost the most of my hair|lose all her hair|lost 50%of my hair|lost my hair|lost her hair|lose her hair|hair shed|lost 70% of her hair|lose your hair|lost 85% of my hair|hair is lost|lost all his hair|losing your hair|lose half of your hair|lost most of my hair|losing so . much . hair|lost so much hair|hair losses|lost almost all his hair|losing all his hair|hair - loss|lose some of your hair|lost 25% of my hair|lost 30% of her hair|lose some hair|lose our hair|loosing my hair|lost hair|lost almost all my hair|baldness|hair is shedding|loses hair|lose all his hair|lose all their hair|losing most of her hair|melting hair|lost 40% of hair|lost some of their hair|losing a significant amount of hair|lost half of his hair|lost 50% of my hair|hair "" loss|losing his hair|losing hairs|losing hair|lost our hair|loses hairs|loosing her hair|lost all my hair|losing 80%of my hair|lost 75 % of my hair|lost some of my hair|lost some of hair|losing hella hair|lost 40% of my hair|lost most of her hair|lost 70% of his hair|lose hairs|lost all her hair|losing most of his hair|hair . . . loss|lost some of his hair|hair loss / thinning|losing most of my hair|loosing so much hair|lost 60% of her hair|lost 70 % of my hair|lose most of my hair|lost 90% of my hair|losing so much hairs|lost 30% of your hair|loses all his hair|loses most of his hair|lost her 60% of hair|lost your hair|lost 60% of my hair|lose hella hair|lost 6% of your hair|lost 70% of their hair|loosing all her hair|lost 75% of her hair|lost 70% of my hair|lost their hair|hair lost"
hallucinations,auditory hallucinations,(auditory hallucinations|olfactory hallucination),olfactory hallucination|auditory hallucinations
hallucinations,hallucinations,(#?hallucinations?|olfactory (( smell ) hallucinations|hallucination)s?),hallucination|hallucinations|olfactory hallucination|#hallucination|olfactory ( smell ) hallucinations|#hallucinations|olfactory hallucinations
has tingling sensation,has tingling sensation,(has )?tingling sensations?,tingling sensations|tingling sensation|has tingling sensation
headache,headache,hea(chache|d( (- ache?y|a(ll a)?che?y|is achey)|ache)),head achy|head all achy|head is achey|head - achey|heachache|head - achy|head all achey|head achey|headache
headaches,aching headache,(aching head(ache)?|banging headache|head (( heart ) aching|- achy?|a(ch(ing|y)?|(ll achy|re aching))|(body aches|has been aching)|is (literally |really )?aching|was aching)),head body aches|head ach|head ( heart ) aching|banging headache|head is really aching|head is literally aching|head achy|aching headache|head all achy|head - ach|head - achy|head are aching|head is aching|aching head|head has been aching|head was aching|head aching
headaches,c/o - a headache,(c/o - a headache|head (gonna explode|ha[ds] hurt|(i|wa)s gonna explode)),head had hurt|head gonna explode|head was gonna explode|c/o - a headache|head is gonna explode|head has hurt
headaches,chronic headache disorder,chronic (headache|migraines)( disorder)?,chronic migraines|chronic headache|chronic headache disorder
headaches,episodic tension-type headache,(episodic tension-type headache|tension (- )?headache),tension - headache|tension headache|episodic tension-type headache
headaches,headache,(#headache|headache( pain|+|y)?),headachey|headache pain|headache+|#headache|headache
headaches,intermittent headache,intermittent headache,intermittent headache
headaches,migraine,migraine( (attack|pain)s?|y?),migraine pain|migraine|migrainey|migraine attack|migraine attacks
headaches,migraine variants,(migraine variant|visual migraine)s,migraine variants|visual migraines
headaches,ocular headache,(headache behind (my|the) eyes|ocular headache),headache behind my eyes|headache behind the eyes|ocular headache
headaches,ophthalmic migraine,o(cular migraines|phthalmic migraine),ocular migraines|ophthalmic migraine
headaches,sinus headache,(clogged sinuses|sinus (pressure )?headache),sinus pressure headache|sinus headache|clogged sinuses
headaches,throbbing headache,(head ((-|. is .|been|has been) throbbing|is (literally |really )?throbbing|throb(bing|s)?|was throbbing)|throbbing headaches?),throbbing headaches|head throb|head . is . throbbing|head has been throbbing|head throbbing|head throbs|head is literally throbbing|head is throbbing|head been throbbing|head is really throbbing|throbbing headache|head was throbbing|head - throbbing
hearing loss,deafness,(deaf( ears?|(ened|ness))|selective deafness),deafness|deaf ears|selective deafness|deaf ear|deafened
hearing loss,hearing loss,(hear( loss|ing ([-.] loss|loss(es)?))|l(ack of hearing|os(s of (h(is h)?earing|my hearing)|t (hearing|m(ost|y) hearing)))),loss of his hearing|hearing loss|hearing . loss|lack of hearing|hearing - loss|lost my hearing|lost hearing|loss of hearing|loss of my hearing|hear loss|hearing losses|lost most hearing
heavy pain,heavy pain,h(a([ds] pain|v(e|ing) pain)|eavy pain),have pain|has pain|having pain|heavy pain|had pain
hematuria,blood in urine,(blood( in|y) urine|urinating (my )?blood),urinating my blood|urinating blood|blood in urine|bloody urine
hematuria,clot hematuria,(clot hematuria|piss( blood|ing (mostly )?blood)),pissing blood|pissing mostly blood|piss blood|clot hematuria
hematuria,microscopic hematuria,(microscopic )?hematuria,microscopic hematuria|hematuria
hemiplegia,hemiplegia,(hemiplegia|para(lyzed on one side|plegics)),hemiplegia|paraplegics|paralyzed on one side
hemorrhage,hemorrhage,(eye )?hemorrhage,hemorrhage|eye hemorrhage
hiccups,hiccoughs,hicc(oughs|up(ing|s)?),hiccuping|hiccup|hiccoughs|hiccups
hives,urticaria,urticaria,urticaria
hives,weal,we(al|lt),weal|welt
hoarseness,hoarse,(h(oarse( ((( sexy if you ' re a male ) voice|cough)|(throat|voice)s?))?|usky voice)|throat (being hoarse|h(as been h)?oarse|(i|wa)s (so )?hoarse)|voice( (being (so )?hoarse|g(ets hoarse|ot (so )?hoarse)|h(as been (so )?hoarse|oarse)|is ((all |getting |really )?hoarse|s(o|uper) hoarse|very hoarse)|so hoarse|was ((really )?hoarse|s(o|uper) hoarse))|s (are (getting )?hoarse|(were )?hoarse))),voices are getting hoarse|voices were hoarse|voice gets hoarse|voice is really hoarse|voice is super hoarse|hoarse throat|voice is very hoarse|voice was super hoarse|voice got so hoarse|voice was hoarse|throat was so hoarse|throat being hoarse|hoarse throats|throat is so hoarse|hoarse ( sexy if you ' re a male ) voice|husky voice|voice being hoarse|throat has been hoarse|voice has been so hoarse|throat was hoarse|voices are hoarse|hoarse voices|voice is so hoarse|throat hoarse|voice so hoarse|voice is hoarse|throat is hoarse|voice was so hoarse|voices hoarse|voice has been hoarse|voice got hoarse|hoarse cough|voice being so hoarse|voice was really hoarse|voice hoarse|voice is getting hoarse|hoarse|hoarse voice|voice is all hoarse
homicidal thoughts,homicidal thoughts,homicidal (ideation|thoughts),homicidal thoughts|homicidal ideation
hungry,hungry,(#hunger|chronic hunger|famished|h(angry(yy)?y?|ung(er( pangs|s)?|r(ier|y( stomach)?s?)))|insatiable hunger),hungry stomach|#hunger|hangryyy|hungrier|hungry stomachs|hunger|insatiable hunger|hungers|hangryyyy|hunger pangs|hungry|hangry|chronic hunger|famished
hyperactivity,hyperactive behavior,hyperactiv(e behavior|ity),hyperactivity|hyperactive behavior
hyperemesis,hyperemesis,hyperem[ei]sis,hyperemisis|hyperemesis
hyperthermia,hyperthermia,(#hyperthermia|h(igh body temperature|yperthermia)s?),hyperthermia|#hyperthermia|high body temperatures|high body temperature
hypomania,hypomania,hypomania,hypomania
hypothermia,hypothermia,(hypothermia|temperature ((being|has been very) low|is (low(er)?|(so|very) low)|(so |was )?low)),temperature being low|temperature is low|temperature is very low|hypothermia|temperature so low|temperature low|temperature is so low|temperature has been very low|temperature was low|temperature is lower
hypotrichosis,hypotrichosis,h(air (been thinning|ha(d been thinning|s (massively )?been thinning)|(is |was )?thinning)|ypotrichosis),hair had been thinning|hair thinning|hair been thinning|hair has been thinning|hair has massively been thinning|hair is thinning|hair was thinning|hypotrichosis
impaired cognition,cognitive disorder,cogniti(on problems|ve (( brain ) damage|changes?|d(amages?|e(f(ects|ici(encies|t))|(gradation|lays))|i(fficult(ies|y)|s(function|order)?))|(failure|problem)s?)),cognitive difficulties|cognitive deficit|cognitive deficiencies|cognitive damage|cognitive problems|cognitive degradation|cognitive damages|cognitive change|cognitive problem|cognitive failures|cognitive defects|cognitive delays|cognitive disfunction|cognition problems|cognitive failure|cognitive ( brain ) damage|cognitive difficulty|cognitive disorder|cognitive changes
impaired cognition,impaired cognition,(cognitive (de(clines?|(ficits|terioration))|impairments?)|dec(line in cognition|reased cogniti(on|ve (ability|function)))|impair(ed cogniti(ve functi)?on|ment of cognitive functions)|reduced cogniti(ve functi)?on),reduced cognition|impaired cognition|cognitive deficits|cognitive decline|decreased cognitive function|decreased cognition|cognitive declines|cognitive deterioration|decline in cognition|impairment of cognitive functions|cognitive impairment|decreased cognitive ability|impaired cognitive function|reduced cognitive function|cognitive impairments
impaired exercise tolerance,impaired exercise tolerance,(decreased|impaired|poor) exercise tolerance,decreased exercise tolerance|poor exercise tolerance|impaired exercise tolerance
impaired insight,impaired insight,impaired (eye|in)sight,impaired insight|impaired eyesight
impaired mobility,impaired mobility,(impair|limit)ed mobility,impaired mobility|limited mobility
impaired skin integrity,broken skin,(broken skin|skin (br(eak( downs?|(ing|s)( down)?)?|oke)|fall off|is (all really broke|br(eaking|oke)( down)?|going to fall off)|w(as breaking down|ound)s?)),skin break down|skin fall off|skin is going to fall off|skin wounds|skin breaks down|skin breaks|broken skin|skin is all really broke|skin is broke|skin is breaking down|skin broke|skin was breaking down|skin is breaking|skin breaking down|skin break|skin break downs|skin wound|skin breaking
impaired skin integrity,impaired skin integrity,(damage[ds] skin|impaired skin integrity|skin (being damaged|damaged?|is (being|so) damaged|(so|was) damaged)),skin being damaged|skin so damaged|skin damaged|skin is so damaged|damages skin|impaired skin integrity|skin damage|skin is being damaged|skin was damaged|damaged skin
inadequate oral intake,inadequate dietary energy intake,(calcium deficiency|inadequate dietary energy intake),inadequate dietary energy intake|calcium deficiency
inadequate oral intake,insufficient fluid intake - finding,(insufficient fluid intake - finding|starvation dehydration),insufficient fluid intake - finding|starvation dehydration
inadequate oral intake,undernourished,(#malnutrition|mal( (- nutrition|. deficiency|deficiency|nutrition)|n(ourish(ed|ment)?|u(rished|tri(on|tion(ed|s)?))))|nutri(ent deficiencies|tional deficienc(ies|y))|p(oor (- )?nutrition|rotein deficiency)|undern(ourished|utrition)|vit( (. )?deficiency|amin( deficienc(ies|y)|s deficiency))),malnourished|nutritional deficiencies|undernourished|malnutritions|undernutrition|malnutritioned|nutritional deficiency|mal - nutrition|mal nutrition|vit deficiency|malnurished|malnutrition|vitamin deficiencies|vitamins deficiency|malnourish|vitamin deficiency|poor nutrition|malnutrion|poor - nutrition|#malnutrition|nutrient deficiencies|protein deficiency|vit . deficiency|malnourishment
incontinence of feces,incontinence of feces,(anal seepage|incontinence of feces),anal seepage|incontinence of feces
increased appetite,excessive eating - polyphagia,(binge eating|excessive eating - polyphagia),excessive eating - polyphagia|binge eating
increased appetite,increased appetite,(#overeating|increase( in (their |your )?appetite|d (in )?appetite)|overeating),increased appetite|#overeating|increase in your appetite|increase in their appetite|increase in appetite|increased in appetite|overeating
influenza-like illness,influenza-like symptoms,"(fl(u( ("" (like |type )?symptoms|( or hangover ) - like symptoms|- (ish symptoms|like( ("" (reaction|symptoms)|( (covid ?|non - covid) ) symptoms|(aches|feeling)|i(llness|nfection)(es)?|reactions?|s(ick|ymptom)s?)|’ illness)|(type )?symptoms)|(:face_with_medical_mask: symptoms|feeling)|like( ("" (illnes|symptom)s|aches|feelings?|illness(es)?|sym(ptoms?\#?|toms))|s symptoms)|symptoms?|type ("" )?symptoms)|(e|ish|like) symptoms)|y (- )?like symptoms)|influenza-like symptoms)","flu like symptoms#|flu like "" symptoms|flu - like’ illness|flu - like illnesses|flu :face_with_medical_mask: symptoms|flu - like "" symptoms|flu - like infection|flu ( or hangover ) - like symptoms|flu like symptom|flu - type symptoms|flu like symtoms|flu - like reactions|flu "" symptoms|fluish symptoms|flulike symptoms|flu feeling|flu - like illness|flue symptoms|flu - like reaction|flu "" like symptoms|flu - like ( covid ? ) symptoms|flu - like aches|flu type symptoms|flu likes symptoms|flu - like ( non - covid ) symptoms|fly like symptoms|flu type "" symptoms|flu like symptoms|flu like feelings|flu like illness|flu - like symptoms|flu - like symptom|flu - like sick|flu like illnesses|flu - ish symptoms|flu - like feeling|influenza-like symptoms|flu symptom|fly - like symptoms|flu like "" illness|flu - like "" reaction|flu "" type symptoms|flu symptoms|flu - symptoms|flu like aches|flu like feeling"
influenza-like symptoms,influenza-like symptoms,"(flue? ("" like ""|- like|like) symptoms|influenza-like symptoms)","flu like symptoms|flu - like symptoms|flue "" like "" symptoms|influenza-like symptoms|flue like symptoms|flue - like symptoms"
insomnia,adjustment insomnia,(adjustment insomnia|insomniacs),insomniacs|adjustment insomnia
insomnia,cannot sleep at all,(barely (even )?slept|c(an( ((' t|. not .|barely|hardly|i not|literally not) sleep|n(ever|ot) sleep|no( longer|t) sleep)|not ((.|even|fucking) sleep|sleep( at all)?)|t (- sleep|even (fall a)?sleep|(fall a|i |really )sleep|sleep( at all)?))|ould( ((. not .|barely|hardly|literally not) sleep|n(ever|ot) sleep)|n( ' t (even |really )?sleep|’?t (even )?sleep)))|d(idn( ' |’)t sleep|o(es)?n( ' |’)t sleep)|ha(dn( ' |’)t slept|rdly ((any sleep|been sleeping|even sleep)|sle(ep|pt)(ing)?)|(s|ve)n( ' |’)t slept)|impossible to sleep|s(hitty sleep(ing)?|leep( ((all|been) (fuck|mess)ed up|fucked up|h(as been (all (fuck|mess)ed up|(fucked up|impossible|messed up|really messed up)|s(o (fuck|mess)ed up|uper messed up))|is messed up)|i(mpossible|s (all (fuck|mess)ed up|(all messed up|fucked up|impossible|messed up)|so (fuck|mess)ed up|so fucked up))|messed up|was (all messed up|impossible|literally impossible|messed up|so messed up))|ing (has been messed up|i(mpossible|s (all messed up|impossible|so fucked up))|was (literally )?impossible)))|unable (- to -|to) sleep|wo(n( ' t sleep|’t (even )?sleep)|uldn( ' |’)t sleep)|zero sleep),sleep has been really messed up|hasn ' t slept|sleep was all messed up|cant fall asleep|sleep is all messed up|sleep fucked up|hardly been sleeping|cant i sleep|sleep has been all messed up|can ' t sleep|hardly sleeping|sleep has been super messed up|could never sleep|sleeping is impossible|couldn ' t sleep|sleep is messed up|sleep been fucked up|sleep all messed up|sleep was messed up|couldnt sleep|couldn’t sleep|sleeping was literally impossible|sleep has been so fucked up|haven ' t slept|sleeping is so fucked up|cant even fall asleep|could barely sleep|sleep is all fucked up|can i not sleep|hadn ' t slept|hardly slept|wouldn ' t sleep|sleep is impossible|won’t even sleep|won’t sleep|sleep was so messed up|sleep messed up|hasn’t slept|unable - to - sleep|don’t sleep|hardly even sleep|shitty sleep|sleep all fucked up|could literally not sleep|sleep impossible|couldnt even sleep|cannot sleep at all|sleep is so messed up|hadn’t slept|sleeping is all messed up|cannot even sleep|sleep his messed up|sleeping was impossible|don ' t sleep|sleep has been impossible|sleep been messed up|could not sleep|cant sleep|doesn’t sleep|wouldn’t sleep|can no longer sleep|cant even sleep|can not sleep|zero sleep|couldn ' t even sleep|couldn’t even sleep|could hardly sleep|sleeping has been messed up|cannot sleep|barely slept|cant - sleep|could . not . sleep|sleep has been all fucked up|barely even slept|sleep is so fucked up|didn ' t sleep|didn’t sleep|sleep is fucked up|unable to sleep|impossible to sleep|hardly any sleep|cannot . sleep|couldn ' t really sleep|shitty sleeping|sleeping impossible|haven’t slept|hardly sleep|sleep has been messed up|sleep was impossible|won ' t sleep|cant really sleep|cannot fucking sleep|doesn ' t sleep|sleep has been so messed up|sleep has been fucked up
insomnia,chronic insomnia,chronic insomnia,chronic insomnia
insomnia,difficulty sleeping,(#sleeplessness|difficulty (falling asleep|sleeping)|ha(d trouble (falling asleep|sleeping)|rd( (for me to (even )?sleep|t(ime falling a|o )sleep)|er (for me to |time falling a)sleep)|s trouble falling asleep|v(e trouble falling asleep|ing trouble sleeping))|s(leep( (difficult(ies|y)?|ha(rd|s been (difficult|hard)|s been super difficult)|is (difficult|hard(er)?|so (difficult|hard)|(so difficult|very hard))|so hard|troubles?|was (difficult|hard|most difficult|troubled|very difficult))|ing (are difficult|difficult(ies|y)?|ha(rd|s been super difficult)|is (difficult|hard|so difficult|very hard)|so (difficult|hard)|to (fall a)?sleep|troubles?|very difficult|was (difficult|hard)|with (my )?sleep(ing)?)|lessness)|truggl(e( (so much to sleep|to (fall a)?sleep)|s to sleep)|ing (to (fall a)?sleep|with (my )?sleep(ing)?)))|trouble( (with )?sleep(ing)?|d sleep|s (sleeping|with sleep))),sleep difficulty|struggle to sleep|#sleeplessness|sleep has been hard|hard for me to even sleep|harder for me to sleep|struggling with sleep|trouble with sleep|struggle to fall asleep|sleep trouble|sleep is so difficult|sleep was most difficult|sleep was very difficult|difficulty falling asleep|sleep is so hard|sleep so hard|sleeping difficulties|sleep is difficult|sleep is harder|sleep hard|had trouble sleeping|sleeping very difficult|sleep troubles|troubles with sleep|sleeping has been super difficult|difficulty sleeping|struggling to sleep|sleep was troubled|sleeping are difficult|sleep is hard|trouble sleeping|having trouble sleeping|have trouble falling asleep|sleeping was hard|struggling with my sleep|sleeping is so difficult|sleeping difficulty|struggling with sleeping|sleep was difficult|sleeping is very hard|struggles to sleep|sleeping is hard|troubles sleeping|sleeping troubles|sleeping hard|hard time falling asleep|sleep difficulties|troubled sleep|sleep difficult|harder time falling asleep|hard for me to sleep|struggling to fall asleep|struggle so much to sleep|hard to sleep|sleeping is difficult|trouble with sleeping|has trouble falling asleep|sleeping trouble|sleeping so difficult|sleeping so hard|sleeplessness|trouble sleep|had trouble falling asleep|sleep has been difficult|sleeping difficult|sleeping was difficult
insomnia,inadequate sleep hygiene,inadequate (- )?sleep( hygiene)?,inadequate sleep hygiene|inadequate - sleep|inadequate sleep
insomnia,insomnia,(#insomina|insom(in|ni)a|sleep insomnia),#insomina|sleep insomnia|insomnia|insomina
insomnia,not getting enough sleep,(barely g(et(s|ting)? sleep|ot(ten)? sleep)|(hard time to|loosing) sleep|not ((getting )?enough sleep|sleeping (very )?well)|sleep( (bad|has been (literally so |really |so )?bad|is (really |so )?bad|so bad|was (so )?bad)|ing (bad|has been (really |so )?bad))|unable to get much sleep),sleep has been bad|sleep bad|not getting enough sleep|sleeping bad|sleep so bad|barely gotten sleep|barely get sleep|sleeping has been bad|not sleeping very well|unable to get much sleep|not sleeping well|barely gets sleep|sleeping has been really bad|barely got sleep|barely getting sleep|hard time to sleep|loosing sleep|sleep was bad|sleep is really bad|not enough sleep|sleep is so bad|sleep has been literally so bad|sleep was so bad|sleep is bad|sleeping has been so bad|sleep has been so bad
insomnia,poor sleep pattern,(bad sleep(ing)?|disrupted sleep( pattern|ing pattern)?s?|poor sleep pattern|sleep( (deficit|poorly)\#?|ing (poorly\#?|(really|so|very) poorly))),sleeping very poorly|disrupted sleep|poor sleep pattern|disrupted sleeping patterns|disrupted sleep patterns|bad sleeping|sleeping poorly|sleeping so poorly|sleep deficit#|sleep poorly|disrupted sleep pattern|sleep deficit|disrupted sleeping pattern|bad sleep|sleeping really poorly
insomnia,restless sleep,(broken (my )?sleep|restless sleep(ing)?|very (very )?little sleep),very very little sleep|broken my sleep|restless sleep|very little sleep|broken sleep|restless sleeping
insomnia,sleep deprivation,sleep (- deprivation|depr[ai]vations?),sleep - deprivation|sleep depravation|sleep deprivation|sleep depravations
insomnia,sleep pattern disturbance,sleep( (been super disturbed|dis(ruption|turbed)|has been (really |so )?disturbed|is (so )?disturbed|pattern disturbance|was (so )?disturbed)|ing was disturbed),sleep disruption|sleeping was disturbed|sleep was so disturbed|sleep disturbed|sleep was disturbed|sleep has been really disturbed|sleep is disturbed|sleep has been disturbed|sleep been super disturbed|sleep pattern disturbance|sleep is so disturbed|sleep has been so disturbed
intermittent pain,intermittent pain,intermittent (chest )?pain,intermittent chest pain|intermittent pain
intolerance to food,intolerance to food,(dairy allergy|food intolerances?|intolerance to food),intolerance to food|food intolerance|food intolerances|dairy allergy
irregular periods,irregular periods,(abnormal periods|irregular (cycles|mens(es|trua(l cycles|tion)s?)|periods)|menstrua(l irregularit(ies|y)|tion irregularities)|period( irregularit(ies|y)|s (are (super )?irregular|be(en|ing) irregular|(have been super |so |were )?irregular))),irregular periods|menstrual irregularity|irregular menstruations|periods been irregular|periods have been super irregular|irregular menses|irregular menstrual cycles|abnormal periods|menstrual irregularities|period irregularities|irregular menstruation|irregular cycles|periods so irregular|periods being irregular|periods are irregular|period irregularity|periods irregular|periods were irregular|menstruation irregularities|periods are super irregular
irritable,feeling irritable,(feeling irritable|ill (- )?feeling),ill - feeling|feeling irritable|ill feeling
itching,c/o: itching,(ass itches|body ((has )?been itching|i(s (itch(ing|y)|(really itching|so itchy))|tch(es|ing|y))|so itchy|was itch(ing|y))|c/o: itching|itchy (- )?butt),body is really itching|body is itching|body is so itchy|body itching|body is itchy|body been itching|body was itchy|itchy - butt|body so itchy|c/o: itching|itchy butt|ass itches|body was itching|body itches|body itchy|body has been itching
itching,itch of skin,(h(ands ((are )?itching|w(as|ere) itching)|ella itchy skin)|itch( of|ing|y) skin|skin (i(s (literally )?itching|tch(es|ing)?)|(really|was) itching)),hands are itching|skin is itching|hands were itching|hella itchy skin|hands itching|itch of skin|skin itching|skin really itching|skin itches|skin was itching|itching skin|itchy skin|skin is literally itching|hands was itching|skin itch
itching,itching of ear,(ears (a(ll itchy|re (itch(ing|y)|so itchy))|(have )?been itching|itch(ing|y)?|were itching)|itch(ing (ears|my ears|of ear)|y ears)),ears are itching|ears been itching|itching my ears|ears were itching|ears are itchy|itching ears|ears itch|ears itchy|itchy ears|ears all itchy|itching of ear|ears have been itching|ears are so itchy|ears itching
itching of eye,itching of eye,itching (eyes|my eyes|of eye),itching my eyes|itching eyes|itching of eye
itchy eyes,has an itchy eye,(has an itchy eye|itchy (- )?watery eyes),itchy watery eyes|itchy - watery eyes|has an itchy eye
itchy eyes,itching of eye,(eye( (has been itchy|i(s (going to itch|itchy|so itchy|very itchy)|tchy?)|was (really )?itchy)|s (are ((getting really|hella) itchy|itch(ing|y)?|really itchy|s(o itch(ing|y)|(o itchy|tinging|uper itchy))|very itchy)|be( stinging|en itch(ing|y))|g(et( (so )?itchy|ting itchy)|ot (so )?itchy)|h(ave been (itch(ing|y)|really itchy|s(o itchy|tinging|uper itchy))|ella itchy)|itch(ing|y)?|r stinging|s(o itchy|tinging|uper itchy)|very itchy|were (itch(ing|y)|really itchy|s(o itchy|tinging))))|itch(ing of|y) eyes?|red itchy eyes),eyes super itchy|eye was itchy|eyes got so itchy|eyes have been itchy|eyes are really itchy|eyes stinging|eyes itch|eyes getting itchy|eyes been itching|eyes are itching|eyes so itchy|eyes been itchy|eyes get so itchy|eyes were itchy|eyes were itching|eyes have been itching|eyes have been super itchy|eyes itching|itchy eyes|eyes have been so itchy|red itchy eyes|eyes are so itching|eyes are super itchy|eyes are very itchy|itchy eye|eyes have been really itchy|eyes were really itchy|eyes be stinging|eye is so itchy|eyes r stinging|eyes were so itchy|eye itch|eyes very itchy|eyes have been stinging|eyes are itchy|eyes are so itchy|eye is itchy|eyes got itchy|eyes hella itchy|itching of eye|eyes were stinging|eyes are hella itchy|eyes get itchy|eye is going to itch|eyes are itch|eyes are getting really itchy|eye is very itchy|eyes itchy|eyes are stinging|eye was really itchy|eye has been itchy|eye itchy
